,ID,GeneID,geneSymbol,chr,strand,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
A3_ss,6919,ENSG00000138326.21,RPS24,chr10,+,"351,692,656,897,527,000,000","30,352,382,410,194,300,000,000","1,111,962,145,196,510,000,000,000,000,000,000","369,283,563,226,499,000,000,000,000,000",2864,99,0,0,"0.039,0.044,0.027,0.03,0.04,0.029,0.024","0.094,0.105,0.082,0.129,0.093,0.104,0.08,0.097,0.054,0.036",-0.054
A3_ss,19863,ENSG00000143337.19,TOR1AIP1,chr1,+,"59,76,108,131,56,103,169","48,5,10,14,59,115,14","72,73,95,64,107,3,0,2,3,1","107,85,105,100,117,131,200,229,161,237",102,99,0,0,"0.544,0.937,0.913,0.901,0.48,0.465,0.921","0.395,0.455,0.468,0.383,0.47,0.022,0.0,0.008,0.018,0.004",0.515
A3_ss,1510,ENSG00000129353.15,SLC44A2,chr19,+,"61,75,72,125,48,89,189","50,94,190,237,64,157,232","74,20,28,10,28,21,28,36,27,51","70,60,130,49,164,52,132,159,95,260",481,99,1.11E-16,5.54E-13,"0.201,0.141,0.072,0.098,0.134,0.104,0.144","0.179,0.064,0.042,0.04,0.034,0.077,0.042,0.045,0.055,0.039",0.066
A3_ss,15909,ENSG00000264343.7,NOTCH2NLA,chr1,-,"70,16,76,91,32,70,149","0,2,15,21,1,5,0","154,31,96,36,98,51,187,189,18,85","0,0,1,0,0,0,0,0,0,2",107,99,2.78E-15,1.04E-11,"1.0,0.881,0.824,0.8,0.967,0.928,1.0","1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,0.975",-0.082
A3_ss,14763,ENSG00000117984.15,CTSD,chr11,-,"295,186,214,383,136,000,000","345,489,424,522,697,000,000,000,000","221,94,132,107,141,183,218,370,63,100","2,553,124,035,081,470,000,000,000,000,000,000,000,000",242,99,5.33E-15,1.60E-11,"0.034,0.078,0.034,0.055,0.035,0.018,0.026","0.034,0.03,0.015,0.029,0.012,0.044,0.02,0.032,0.021,0.009",0.015
A3_ss,361,ENSG00000100412.17,ACO2,chr22,+,"227,254,236,433,190,000,000","408,177,360,331,369,000,000","335,101,139,124,144,000,000,000,000,000","446,224,595,357,850,000,000,000,000,000",637,99,7.66E-15,1.91E-11,"0.08,0.182,0.092,0.169,0.074,0.051,0.067","0.105,0.065,0.035,0.051,0.026,0.078,0.046,0.059,0.071,0.036",0.045
A3_ss,17931,ENSG00000186918.14,ZNF395,chr8,-,"19,48,57,65,25,33,8","0,9,21,22,5,1,0","28,10,20,5,15,9,16,16,4,5","0,0,0,0,1,0,1,0,0,0",139,99,1.33E-14,2.85E-11,"1.0,0.792,0.659,0.678,0.781,0.959,1.0","1.0,1.0,1.0,1.0,0.914,1.0,0.919,1.0,1.0,1.0",-0.145
A3_ss,22553,ENSG00000206503.15,HLA-A,chr6,+,"43,61,123,91,27,57,42","3,752,431,064,637,120,000,000","15,13,31,60,119,58,89,74,14,64","126,739,213,792,411,000,000,000,000,000,000,000",133,99,1.85E-14,3.47E-11,"0.079,0.157,0.079,0.096,0.14,0.047,0.031","0.009,0.024,0.016,0.156,0.071,0.074,0.03,0.039,0.023,0.026",0.043
A3_ss,20531,ENSG00000289177.3,ENSG00000289177,chr7,+,"6,11,7,12,8,9,15","2,8,6,11,4,0,0","16,20,15,21,19,29,27,66,21,14","0,1,0,0,1,0,1,1,0,1",182,99,2.95E-14,4.91E-11,"0.62,0.428,0.388,0.372,0.521,1.0,1.0","1.0,0.916,1.0,1.0,0.912,1.0,0.936,0.973,1.0,0.884",-0.344
A3_ss,18257,ENSG00000137221.14,TJAP1,chr6,+,"110,40,34,58,44,52,177","60,59,116,142,32,100,67","28,18,18,24,29,31,51,46,14,23","129,28,94,58,100,54,136,145,35,67",912,99,1.86E-13,2.79E-10,"0.166,0.069,0.031,0.042,0.13,0.053,0.223","0.023,0.065,0.02,0.043,0.031,0.059,0.039,0.033,0.042,0.036",0.063
