,ID,GeneID,geneSymbol,chr,strand,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
A3_ss,40,ENSG00000102030.16,NAA10,chrX,-,"143,178,155,16,44","184,192,204,259,179","24,31,18,8,21,43,78","154,213,189,221,171,000,000",1232,98,0,0,"0.058,0.069,0.057,0.005,0.019","0.012,0.011,0.008,0.003,0.01,0.015,0.027",0.029
A3_ss,1281,ENSG00000250067.12,YJEFN3,chr19,+,"247,431,318,45,167","286,361,210,424,158","83,62,75,24,90,80,152","249,341,290,290,198,000,000",2028,98,0,0,"0.04,0.055,0.068,0.005,0.049","0.016,0.009,0.012,0.004,0.021,0.015,0.023",0.029
A3_ss,12807,ENSG00000108654.16,DDX5,chr17,-,"6,991,086,881,277,240","142,155,114,539,38","96,291,205,60,298,227,148","132,380,382,207,445,000,000",1216,98,0,0,"0.284,0.361,0.384,0.04,0.345","0.055,0.058,0.041,0.023,0.051,0.076,0.088",0.227
A3_ss,13662,ENSG00000155096.15,AZIN1,chr8,-,"34,83,21,2,2","316,161,79,255,18","0,6,0,0,10,0,0","61,204,325,59,234,145,81",249,98,0,0,"0.041,0.169,0.095,0.003,0.042","0.0,0.011,0.0,0.0,0.017,0.0,0.0",0.066
A3_ss,12806,ENSG00000108654.16,DDX5,chr17,-,"278,383,352,111,128","142,155,114,539,38","43,107,93,24,123,93,70","132,380,382,207,445,000,000",468,98,4.44E-16,1.02E-12,"0.291,0.341,0.393,0.041,0.414","0.064,0.056,0.049,0.024,0.055,0.08,0.106",0.234
A3_ss,2345,ENSG00000266964.6,FXYD1,chr19,+,"110,125,148,116,133","15,271,562,155,511,000,000","126,130,88,145,150,232,179","1,847,498,470,111,240,000,000,000",191,98,6.88E-15,1.32E-11,"0.036,0.039,0.047,0.051,0.038","0.034,0.118,0.088,0.063,0.155,0.089,0.057",-0.044
A3_ss,1362,ENSG00000011243.19,AKAP8L,chr19,-,"30,46,52,26,18","265,270,270,131,93","26,20,25,29,31,49,67","62,93,62,52,104,93,76",1009,98,1.67E-14,2.73E-11,"0.011,0.016,0.018,0.019,0.018","0.039,0.02,0.038,0.051,0.028,0.049,0.079",-0.027
A3_ss,3587,ENSG00000075413.19,MARK3,chr14,+,"49,81,47,25,34","61,66,58,136,30","28,25,20,3,19,16,20","31,127,71,69,76,117,55",923,98,7.46E-14,1.07E-10,"0.079,0.115,0.079,0.019,0.107","0.088,0.02,0.029,0.005,0.026,0.014,0.037",0.049
A3_ss,12805,ENSG00000108654.16,DDX5,chr17,-,"112,141,151,58,55","142,155,114,539,38","30,53,42,14,63,35,38","132,380,382,207,445,000,000",207,98,9.48E-14,1.21E-10,"0.272,0.301,0.385,0.048,0.407","0.097,0.062,0.049,0.031,0.063,0.069,0.127",0.211
A3_ss,6978,ENSG00000070669.17,ASNS,chr7,-,"17,51,24,5,9","178,148,193,343,21","1,13,1,3,3,9,3","71,269,247,181,174,100,000",172,98,1.80E-13,1.87E-10,"0.052,0.164,0.066,0.008,0.196","0.008,0.027,0.002,0.009,0.01,0.027,0.016",0.083
